new_la_code,imd19_health
E06000001,0.869
E06000002,1.194
E06000003,0.79
E06000004,0.684
E06000005,0.532
E06000006,0.93
E06000007,0.278
E06000008,1.049
E06000009,1.643
E06000010,0.853
E06000011,-0.39
E06000012,0.38
E06000013,0.233
E06000014,-0.316
E06000015,0.526
E06000016,0.594
E06000017,-1.048
E06000018,0.861
E06000019,-0.312
E06000020,0.446
E06000021,1.037
E06000022,-0.668
E06000023,0.322
E06000024,-0.263
E06000025,-0.813
E06000026,0.666
E06000027,0.504
E06000030,0.007
E06000031,0.413
E06000032,0.294
E06000033,0.062
E06000034,-0.234
E06000035,0.075
E06000036,-0.907
E06000037,-0.888
E06000038,-0.034
E06000039,0.147
E06000040,-1.033
E06000041,-1.545
E06000042,-0.158
E06000043,0.097
E06000044,0.27
E06000045,0.541
E06000046,0.084
E06000047,0.71
E06000049,-0.186
E06000050,0.089
E06000051,-0.348
E06000052,0.054
E06000053,-2.625
E06000054,-0.587
E06000055,-0.119
E06000056,-0.712
E06000057,0.189
E06000058,-0.039
E06000059,-0.346
E06000060,-1.096
E08000001,0.589
E08000002,0.308
E08000003,1.198
E08000004,0.663
E08000005,0.842
E08000006,0.995
E08000007,0.355
E08000008,0.855
E08000009,-0.072
E08000010,0.618
E08000011,1.381
E08000012,1.347
E08000013,1.069
E08000014,0.75
E08000015,0.962
E08000016,0.839
E08000017,0.665
E08000018,0.817
E08000019,0.456
E08000021,0.815
E08000022,0.43
E08000023,0.863
E08000024,0.828
E08000025,0.67
E08000026,0.367
E08000027,0.287
E08000028,0.705
E08000029,-0.256
E08000030,0.562
E08000031,0.607
E08000032,0.632
E08000033,0.264
E08000034,0.166
E08000035,0.415
E08000036,0.539
E08000037,0.824
E09000001,-0.686
E09000002,0.204
E09000003,-1.074
E09000004,-0.561
E09000005,-0.453
E09000006,-0.908
E09000007,-0.556
E09000008,-0.174
E09000009,-0.326
E09000010,-0.535
E09000011,-0.021
E09000012,0.371
E09000013,-0.05
E09000014,-0.128
E09000015,-1.04
E09000016,-0.538
E09000017,-0.379
E09000018,-0.27
E09000019,0.274
E09000020,-1.243
E09000021,-0.963
E09000022,0.148
E09000023,0.067
E09000024,-0.615
E09000025,-0.03
E09000026,-0.74
E09000027,-1.373
E09000028,0.112
E09000029,-0.57
E09000030,0.195
E09000031,-0.161
E09000032,-0.388
E09000033,-0.855
E10000003,-0.595
E10000006,0.223
E10000007,0.148
E10000008,-0.315
E10000011,-0.254
E10000012,-0.392
E10000013,-0.331
E10000014,-0.642
E10000015,-0.807
E10000016,-0.283
E10000017,0.429
E10000018,-0.486
E10000019,-0.024
E10000020,0.068
E10000021,-0.067
E10000023,-0.419
E10000024,-0.007
E10000025,-0.76
E10000027,-0.161
E10000028,-0.083
E10000029,-0.25
E10000030,-0.89
E10000031,-0.249
E10000032,-0.425
E10000034,-0.226
